epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10020.3,1.31603,0.6397,1.00995,0.86857,0.65335,0.73608,0.4186,1.25423,0.53783,1.01966,0.005842,0.005842,0.005842
44,10253,1.30161,0.62878,1.00368,0.86856,0.65429,0.73733,0.41852,1.25246,0.53504,1.0191,0.005743,0.005743,0.005743
45,10485.5,1.30468,0.63217,1.00915,0.86777,0.65471,0.7383,0.41996,1.25386,0.53516,1.02021,0.005644,0.005644,0.005644
46,10718.5,1.30215,0.62335,1.00908,0.86676,0.65434,0.73797,0.42023,1.2541,0.53245,1.02137,0.005545,0.005545,0.005545
47,10951,1.30038,0.62444,1.00384,0.86731,0.6557,0.73922,0.42032,1.25442,0.53036,1.02093,0.005446,0.005446,0.005446
48,11183,1.3005,0.62363,1.00685,0.86877,0.65792,0.7409,0.42165,1.25404,0.53062,1.02146,0.005347,0.005347,0.005347
49,11415,1.30168,0.62038,1.00729,0.86819,0.65846,0.74127,0.42164,1.25498,0.52926,1.02367,0.005248,0.005248,0.005248
50,11647.6,1.30006,0.62004,1.00417,0.86787,0.65741,0.74073,0.42196,1.25353,0.52918,1.02192,0.005149,0.005149,0.005149
51,11880.2,1.28986,0.61688,1.00312,0.86968,0.65571,0.74148,0.42238,1.25322,0.52863,1.02244,0.00505,0.00505,0.00505
52,12112.8,1.2944,0.61657,1.00357,0.87265,0.65437,0.74216,0.42291,1.25175,0.52693,1.0222,0.004951,0.004951,0.004951
53,12345.2,1.28601,0.60957,0.99839,0.87007,0.65781,0.74295,0.42314,1.25161,0.52476,1.02198,0.004852,0.004852,0.004852
54,12578.2,1.28365,0.61005,1.00038,0.87082,0.65935,0.74374,0.42343,1.24964,0.52353,1.02049,0.004753,0.004753,0.004753
55,12811.2,1.28272,0.60653,0.99753,0.87174,0.65933,0.74359,0.42406,1.24867,0.523,1.01961,0.004654,0.004654,0.004654
56,13043.8,1.28139,0.60561,0.9995,0.87197,0.65926,0.74392,0.4241,1.24783,0.52251,1.01988,0.004555,0.004555,0.004555
57,13276.5,1.2738,0.60065,0.99372,0.87305,0.66045,0.7445,0.42498,1.24717,0.52122,1.01893,0.004456,0.004456,0.004456
58,13509.8,1.27733,0.60212,0.99274,0.87302,0.66203,0.74576,0.42505,1.24596,0.52036,1.01788,0.004357,0.004357,0.004357
59,13742.9,1.27297,0.59722,0.99165,0.87232,0.66275,0.74643,0.42572,1.2451,0.51908,1.01721,0.004258,0.004258,0.004258
60,13975.7,1.27346,0.59815,0.99618,0.87163,0.66339,0.74636,0.42655,1.24491,0.51845,1.01779,0.004159,0.004159,0.004159
61,14208,1.26726,0.59338,0.99214,0.87242,0.66342,0.74674,0.42679,1.24503,0.51718,1.01752,0.00406,0.00406,0.00406
62,14440.8,1.26725,0.59441,0.99278,0.87364,0.66388,0.74774,0.42706,1.2451,0.51636,1.01777,0.003961,0.003961,0.003961
63,14673.3,1.26277,0.58788,0.98978,0.87383,0.66452,0.74779,0.42727,1.24506,0.51565,1.01766,0.003862,0.003862,0.003862
64,14906.1,1.26349,0.58872,0.98959,0.87473,0.66489,0.74839,0.42761,1.24568,0.51524,1.01785,0.003763,0.003763,0.003763
65,15138.7,1.25993,0.58703,0.98991,0.87436,0.66518,0.74769,0.42732,1.24629,0.51538,1.01766,0.003664,0.003664,0.003664
66,15371.1,1.25465,0.58334,0.98516,0.87422,0.66562,0.74872,0.42763,1.24624,0.51405,1.01732,0.003565,0.003565,0.003565
67,15603.6,1.25076,0.57993,0.98694,0.87335,0.66582,0.74875,0.42807,1.2464,0.51383,1.01746,0.003466,0.003466,0.003466
68,15836.1,1.24545,0.57198,0.98395,0.87547,0.66546,0.74951,0.42813,1.2463,0.51341,1.01754,0.003367,0.003367,0.003367
69,16068.1,1.25058,0.5766,0.98403,0.87192,0.66754,0.7495,0.42838,1.24666,0.51291,1.01774,0.003268,0.003268,0.003268
70,16300.7,1.24693,0.57687,0.98125,0.87362,0.66697,0.7496,0.42873,1.24637,0.51238,1.01759,0.003169,0.003169,0.003169
71,16533.5,1.24697,0.57281,0.97895,0.87361,0.66694,0.74916,0.42864,1.24636,0.51204,1.01738,0.00307,0.00307,0.00307
72,16766.5,1.2428,0.57264,0.97953,0.87298,0.66777,0.74966,0.42887,1.24625,0.51199,1.01712,0.002971,0.002971,0.002971
