epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4712.99,1.35089,0.65161,0.98066,0.85874,0.62972,0.71357,0.40139,1.30874,0.57148,0.99524,0.005842,0.005842,0.005842
44,4822.76,1.34053,0.6443,0.97604,0.85912,0.631,0.71334,0.39989,1.31043,0.5719,0.99673,0.005743,0.005743,0.005743
45,4932.28,1.34415,0.64652,0.97906,0.85964,0.63179,0.71537,0.40215,1.30682,0.56868,0.99694,0.005644,0.005644,0.005644
46,5041.34,1.33167,0.63898,0.97634,0.86303,0.63164,0.71608,0.40267,1.3037,0.56666,0.99589,0.005545,0.005545,0.005545
47,5151.19,1.33972,0.64204,0.97634,0.86116,0.63199,0.71646,0.40218,1.30764,0.56574,0.99632,0.005446,0.005446,0.005446
48,5260.61,1.33284,0.63614,0.97429,0.86346,0.63317,0.71759,0.40264,1.30573,0.56466,0.99565,0.005347,0.005347,0.005347
49,5370.2,1.33445,0.63986,0.97452,0.86434,0.6332,0.71869,0.40341,1.30459,0.56451,0.99484,0.005248,0.005248,0.005248
50,5479.61,1.3312,0.63576,0.97607,0.86639,0.63318,0.71894,0.40411,1.30226,0.56257,0.99539,0.005149,0.005149,0.005149
51,5588.94,1.33082,0.63505,0.97416,0.86544,0.63256,0.71897,0.40406,1.30464,0.56153,0.99647,0.00505,0.00505,0.00505
52,5698.09,1.31991,0.62862,0.97529,0.86243,0.63486,0.7194,0.40398,1.30408,0.56021,0.99533,0.004951,0.004951,0.004951
53,5807.31,1.32099,0.62816,0.96924,0.86477,0.63609,0.72067,0.40529,1.30339,0.55855,0.99405,0.004852,0.004852,0.004852
54,5916.79,1.31993,0.62617,0.96961,0.86562,0.63619,0.72229,0.40596,1.30368,0.5573,0.99422,0.004753,0.004753,0.004753
55,6026.05,1.31381,0.62344,0.97171,0.8645,0.63734,0.72224,0.40727,1.30348,0.55592,0.9961,0.004654,0.004654,0.004654
56,6135.36,1.30941,0.62008,0.96901,0.86436,0.63741,0.72227,0.40721,1.30088,0.55488,0.99502,0.004555,0.004555,0.004555
57,6244.49,1.31645,0.62349,0.97151,0.86631,0.63691,0.72255,0.40712,1.30052,0.55321,0.99522,0.004456,0.004456,0.004456
58,6353.63,1.30589,0.61638,0.96952,0.86429,0.6379,0.72288,0.40764,1.30003,0.5529,0.99644,0.004357,0.004357,0.004357
59,6463.15,1.30848,0.616,0.96807,0.86408,0.63841,0.7234,0.4073,1.30059,0.55262,0.99673,0.004258,0.004258,0.004258
60,6572.54,1.31087,0.61771,0.96716,0.86495,0.63852,0.72411,0.40805,1.29951,0.5523,0.99614,0.004159,0.004159,0.004159
61,6681.74,1.30016,0.6161,0.96491,0.86501,0.63835,0.724,0.4081,1.30092,0.55205,0.99566,0.00406,0.00406,0.00406
62,6791.43,1.31752,0.61773,0.96431,0.86647,0.63843,0.7247,0.40864,1.2992,0.55104,0.99462,0.003961,0.003961,0.003961
63,6900.48,1.30049,0.60863,0.96311,0.86793,0.63818,0.72467,0.40883,1.2992,0.55052,0.99433,0.003862,0.003862,0.003862
64,7009.74,1.29252,0.60634,0.96327,0.86678,0.63779,0.72481,0.40867,1.29965,0.5503,0.99428,0.003763,0.003763,0.003763
65,7119.45,1.29644,0.60697,0.96233,0.86558,0.63898,0.72493,0.40868,1.29965,0.54961,0.99463,0.003664,0.003664,0.003664
66,7228.66,1.28951,0.60301,0.9601,0.86622,0.6387,0.72509,0.40867,1.30037,0.54946,0.99512,0.003565,0.003565,0.003565
67,7337.93,1.28916,0.59967,0.95882,0.86317,0.64131,0.72573,0.40875,1.30011,0.54963,0.99508,0.003466,0.003466,0.003466
68,7447.43,1.28253,0.59702,0.95876,0.86514,0.64116,0.7262,0.40929,1.3003,0.5491,0.99537,0.003367,0.003367,0.003367
69,7556.84,1.28858,0.59985,0.95589,0.86567,0.64125,0.72644,0.40946,1.30026,0.5488,0.99505,0.003268,0.003268,0.003268
70,7666.35,1.27612,0.59084,0.95438,0.86654,0.64061,0.72655,0.40985,1.30032,0.54831,0.9952,0.003169,0.003169,0.003169
71,7775.78,1.27552,0.59154,0.95473,0.86703,0.64105,0.72699,0.40987,1.29983,0.54763,0.99542,0.00307,0.00307,0.00307
72,7885.13,1.27389,0.59006,0.95595,0.86651,0.64097,0.72715,0.41017,1.30032,0.54735,0.99596,0.002971,0.002971,0.002971
73,7994.55,1.27216,0.58628,0.95253,0.868,0.64031,0.72703,0.4103,1.30034,0.54692,0.99588,0.002872,0.002872,0.002872
74,8103.69,1.25648,0.58193,0.95277,0.86773,0.64028,0.72733,0.41065,1.30069,0.54689,0.99616,0.002773,0.002773,0.002773
75,8213.18,1.26639,0.58409,0.95038,0.86435,0.64191,0.72747,0.41054,1.30123,0.5468,0.99659,0.002674,0.002674,0.002674
76,8322.76,1.25874,0.58368,0.95049,0.86385,0.64228,0.72765,0.41074,1.3018,0.54664,0.99689,0.002575,0.002575,0.002575
77,8432.21,1.25921,0.57858,0.94738,0.86391,0.64228,0.72759,0.41066,1.30201,0.54651,0.99695,0.002476,0.002476,0.002476
78,8541.49,1.24838,0.57895,0.94644,0.86407,0.64295,0.72791,0.411,1.30242,0.54622,0.99711,0.002377,0.002377,0.002377
79,8650.86,1.25208,0.57838,0.94921,0.8643,0.64281,0.72773,0.41099,1.3025,0.54598,0.99723,0.002278,0.002278,0.002278
80,8760.3,1.24513,0.57415,0.94505,0.86468,0.64281,0.72815,0.41126,1.30258,0.54561,0.99746,0.002179,0.002179,0.002179
81,8869.87,1.24299,0.56736,0.94597,0.86522,0.64268,0.72807,0.41143,1.3029,0.54553,0.99767,0.00208,0.00208,0.00208
82,8979.22,1.23921,0.56816,0.94497,0.86549,0.64233,0.72823,0.41147,1.30302,0.54514,0.99779,0.001981,0.001981,0.001981
