epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13428.2,1.287,0.60089,1.00921,0.87235,0.6612,0.74447,0.4258,1.25716,0.52371,1.03763,0.005842,0.005842,0.005842
44,13740.1,1.28622,0.59802,1.00706,0.87914,0.65891,0.74673,0.42725,1.25698,0.52061,1.04117,0.005743,0.005743,0.005743
45,14052.1,1.27992,0.59597,1.00742,0.87816,0.65938,0.746,0.42747,1.25527,0.52019,1.03834,0.005644,0.005644,0.005644
46,14364.1,1.27622,0.59151,1.00652,0.87457,0.66063,0.74577,0.42753,1.25381,0.51967,1.03691,0.005545,0.005545,0.005545
47,14675.6,1.27288,0.59114,1.00659,0.87773,0.66084,0.74709,0.42772,1.25591,0.51902,1.03482,0.005446,0.005446,0.005446
48,14987.5,1.27569,0.59046,1.00597,0.87628,0.6616,0.74769,0.42839,1.25469,0.51785,1.0366,0.005347,0.005347,0.005347
49,15299.1,1.2682,0.58772,1.00035,0.87629,0.66216,0.74818,0.42823,1.25591,0.51588,1.03479,0.005248,0.005248,0.005248
50,15610.8,1.26219,0.58381,1.00416,0.87292,0.66431,0.74946,0.43021,1.25218,0.51601,1.03512,0.005149,0.005149,0.005149
51,15923,1.27046,0.58662,1.00025,0.87482,0.66587,0.75073,0.43031,1.25161,0.51473,1.03399,0.00505,0.00505,0.00505
52,16235,1.27063,0.58437,1.00051,0.87696,0.66569,0.75128,0.43099,1.25197,0.51401,1.0338,0.004951,0.004951,0.004951
53,16546.9,1.25837,0.57731,1.00188,0.87562,0.66725,0.75149,0.43097,1.25257,0.51255,1.03459,0.004852,0.004852,0.004852
54,16858.8,1.26008,0.57843,1.00209,0.87586,0.66747,0.75144,0.43069,1.25269,0.5122,1.03776,0.004753,0.004753,0.004753
55,17170.6,1.25753,0.57669,1.00119,0.87329,0.66912,0.75139,0.43106,1.2529,0.51218,1.03897,0.004654,0.004654,0.004654
56,17482.5,1.25419,0.57363,1.00167,0.87622,0.66658,0.75119,0.43122,1.25329,0.51163,1.04058,0.004555,0.004555,0.004555
57,17794.3,1.24938,0.57255,0.99805,0.87717,0.66736,0.75256,0.43164,1.25298,0.51168,1.04098,0.004456,0.004456,0.004456
58,18106.4,1.24943,0.56952,0.99304,0.87859,0.66807,0.75316,0.43212,1.25303,0.51156,1.04033,0.004357,0.004357,0.004357
59,18418.5,1.24229,0.56273,0.9907,0.87363,0.67137,0.75331,0.43272,1.25267,0.51017,1.03942,0.004258,0.004258,0.004258
60,18730.4,1.24784,0.56622,0.99336,0.87339,0.67209,0.75444,0.43321,1.25318,0.50954,1.04001,0.004159,0.004159,0.004159
61,19042.1,1.23877,0.5628,0.98989,0.87538,0.67058,0.75457,0.43349,1.25323,0.50871,1.0403,0.00406,0.00406,0.00406
62,19354.2,1.23845,0.56102,0.98869,0.87463,0.67068,0.75457,0.43411,1.25233,0.50813,1.04013,0.003961,0.003961,0.003961
63,19666.2,1.24036,0.56278,0.99042,0.87719,0.67081,0.75533,0.4348,1.25174,0.50786,1.04056,0.003862,0.003862,0.003862
64,19978,1.2271,0.55536,0.98845,0.87906,0.67045,0.75551,0.43497,1.25047,0.50704,1.04039,0.003763,0.003763,0.003763
65,20289.7,1.22829,0.55543,0.9856,0.87914,0.67083,0.75601,0.43507,1.25023,0.50644,1.03996,0.003664,0.003664,0.003664
66,20601.7,1.22405,0.55078,0.98454,0.87988,0.67053,0.75627,0.43526,1.24975,0.50552,1.0391,0.003565,0.003565,0.003565
67,20913.5,1.21722,0.54571,0.9856,0.8798,0.67167,0.75676,0.43552,1.25003,0.50512,1.03921,0.003466,0.003466,0.003466
68,21226.3,1.21808,0.54784,0.98021,0.87902,0.67216,0.75694,0.43572,1.24993,0.5044,1.03863,0.003367,0.003367,0.003367
69,21538.6,1.21748,0.54487,0.98551,0.87922,0.67245,0.7571,0.43558,1.25017,0.50391,1.03952,0.003268,0.003268,0.003268
70,21851.3,1.20635,0.54019,0.98169,0.87961,0.67283,0.75753,0.43601,1.25029,0.5032,1.04009,0.003169,0.003169,0.003169
71,22195.5,1.20528,0.53838,0.98014,0.87746,0.67334,0.75745,0.43595,1.25011,0.50278,1.04044,0.00307,0.00307,0.00307
72,22546.8,1.20954,0.54183,0.98002,0.87653,0.67396,0.75785,0.43584,1.25026,0.50231,1.04101,0.002971,0.002971,0.002971
73,22903.6,1.20469,0.53692,0.97534,0.87594,0.67445,0.75821,0.43619,1.24993,0.50208,1.04105,0.002872,0.002872,0.002872
74,23216,1.19519,0.53252,0.97732,0.87472,0.67559,0.75846,0.43642,1.24951,0.50205,1.04137,0.002773,0.002773,0.002773
75,23527.9,1.18973,0.52851,0.97078,0.87448,0.67566,0.75859,0.43665,1.24945,0.50193,1.04126,0.002674,0.002674,0.002674
76,23839.9,1.19362,0.52901,0.97088,0.87433,0.67561,0.7588,0.43677,1.24958,0.50172,1.0412,0.002575,0.002575,0.002575
77,24151.9,1.18738,0.52538,0.97145,0.8741,0.67674,0.75896,0.43687,1.24966,0.50141,1.0412,0.002476,0.002476,0.002476
78,24464.1,1.17717,0.52083,0.96936,0.87411,0.6766,0.75904,0.43702,1.24963,0.50106,1.04126,0.002377,0.002377,0.002377
79,24776.1,1.17883,0.52013,0.96962,0.87428,0.67621,0.759,0.43707,1.24977,0.50119,1.04129,0.002278,0.002278,0.002278
80,25087.8,1.16533,0.51606,0.96812,0.87405,0.67671,0.75943,0.43726,1.24972,0.50062,1.04132,0.002179,0.002179,0.002179
81,25400,1.1693,0.51532,0.96566,0.87403,0.67633,0.75938,0.43723,1.2501,0.50074,1.04156,0.00208,0.00208,0.00208
82,25711.8,1.16606,0.51398,0.96703,0.8758,0.67558,0.75947,0.43752,1.2504,0.50067,1.04197,0.001981,0.001981,0.001981
83,26024,1.15881,0.51008,0.96419,0.87447,0.6765,0.75956,0.43744,1.2506,0.50055,1.04236,0.001882,0.001882,0.001882
84,26335.9,1.16331,0.51201,0.96636,0.87558,0.67536,0.75957,0.43749,1.2506,0.5004,1.04274,0.001783,0.001783,0.001783
85,26647.8,1.15107,0.50467,0.96389,0.87484,0.67628,0.75996,0.43763,1.25059,0.50008,1.0428,0.001684,0.001684,0.001684
86,26959.6,1.14749,0.50115,0.95919,0.87567,0.67536,0.75991,0.43759,1.25096,0.50008,1.043,0.001585,0.001585,0.001585
87,27271.7,1.14988,0.50581,0.95903,0.87573,0.67566,0.76041,0.43768,1.25133,0.50003,1.04314,0.001486,0.001486,0.001486
88,27583.6,1.14114,0.49966,0.95821,0.87476,0.67597,0.76029,0.43761,1.25163,0.49981,1.04332,0.001387,0.001387,0.001387
89,27895.6,1.14071,0.49863,0.95433,0.87473,0.67595,0.76039,0.43765,1.25206,0.49969,1.04364,0.001288,0.001288,0.001288
90,28207.6,1.13584,0.4943,0.95393,0.87579,0.67528,0.76024,0.4376,1.25206,0.49956,1.0439,0.001189,0.001189,0.001189
91,28518.8,1.10974,0.46926,0.96,0.87635,0.67537,0.7604,0.43777,1.2523,0.49953,1.04415,0.00109,0.00109,0.00109
92,28829.7,1.10198,0.46305,0.96027,0.8762,0.67537,0.76064,0.4378,1.25253,0.49933,1.0444,0.000991,0.000991,0.000991
93,29140.6,1.0981,0.46068,0.95585,0.87722,0.67477,0.76054,0.43776,1.25275,0.49948,1.0447,0.000892,0.000892,0.000892
94,29451.6,1.09059,0.45553,0.95353,0.8772,0.67446,0.76065,0.43785,1.25315,0.49933,1.04501,0.000793,0.000793,0.000793
95,29762.6,1.08649,0.45399,0.95286,0.87716,0.67426,0.76062,0.43785,1.25361,0.49913,1.04542,0.000694,0.000694,0.000694
96,30073.5,1.07986,0.45192,0.95271,0.87633,0.67495,0.7606,0.43783,1.25407,0.49916,1.04579,0.000595,0.000595,0.000595
97,30384.6,1.0732,0.447,0.94799,0.8767,0.67505,0.76079,0.4377,1.25448,0.49919,1.04612,0.000496,0.000496,0.000496
98,30695.6,1.07314,0.44669,0.94678,0.87609,0.67513,0.76077,0.43774,1.2548,0.49923,1.04648,0.000397,0.000397,0.000397
99,31006.6,1.07072,0.44552,0.94432,0.87498,0.67569,0.76082,0.43786,1.25512,0.49939,1.04673,0.000298,0.000298,0.000298
100,31317.8,1.06437,0.44315,0.94137,0.87524,0.6759,0.76098,0.43779,1.25556,0.4996,1.04705,0.000199,0.000199,0.000199
